CustomerID,PurchaseFrequency,AverageOrderValue,EngagementScore,TotalPurchaseAmount,CustomerLifecycleValue,Segment
1,72,57.1194912945121,0.303194059461046,4112.603373204871,8,1
2,6,203.49051101339924,0.289970118943609,1220.9430660803955,2,1
3,18,418.4181757036548,0.5632889309538147,7531.527162665786,15,0
4,40,321.4487345960175,0.1199536930238899,12857.9493838407,26,0
5,24,201.7522097399392,0.9167916907023352,4842.05303375854,9,1
6,42,457.4861565483532,0.7206551452831133,19214.418575030835,39,2
7,15,397.6802273522221,0.4014456309131936,5965.203410283331,12,1
8,4,169.20295125653004,0.1586241445263779,676.8118050261202,1,1
9,20,340.3804268865726,0.8819921697216359,6807.608537731452,13,1
10,10,318.0878276850305,0.8237780901011652,3180.878276850305,6,1
11,5,230.5345613175422,0.7217215527171793,1152.672806587711,2,1
12,48,215.1302356421603,0.2715470474112423,10326.251310823694,21,0
13,72,204.6022136490668,0.4024466374336689,14731.359382732808,30,0
14,12,327.7201025280411,0.1027482524524233,3932.641230336493,7,1
15,9,249.08447141630128,0.1890395247275317,2241.760242746712,4,1
16,24,424.3384009631399,0.7830166373167329,10184.121623115358,20,0
17,5,351.32117726028287,0.7150387188506838,1756.6058863014143,3,1
18,32,81.46922256924536,0.5934857629759347,2607.0151222158515,5,1
19,42,338.07570072267475,0.8957267259261729,14199.179430352338,29,0
20,24,172.01634642508316,0.5832665178130454,4128.392314201996,8,1
21,54,316.76539624404023,0.4669679999636107,17105.331397178175,35,0
22,20,356.05936899655313,0.3403707463057627,7121.187379931062,14,0
23,3,153.87313511930543,0.9404485057361726,461.6194053579163,0,1
24,15,255.5863901961659,0.0827154615243535,3833.7958529424886,7,1
25,45,135.6461882685805,0.9308873720608084,6104.078472086123,12,1
26,40,73.55249410392874,0.8267146599310183,2942.0997641571494,5,1
27,15,220.31439056864104,0.1299299245357013,3304.715858529616,6,1
28,16,213.3249223306964,0.5649843576752536,3413.198757291142,6,1
29,63,497.96622081691567,0.8665479817490869,31371.871911465685,64,2
30,45,250.85855803893892,0.5718091636071537,11288.635111752254,23,0
31,8,200.1062972624902,0.9071998215606224,1600.8503780999215,3,1
32,32,311.2137530225036,0.9429838168160424,9958.840096720114,20,0
33,8,89.94532734849581,0.4223845221843059,719.5626187879665,1,1
34,14,482.74958117966594,0.3773136614063236,6758.494136515323,13,1
35,32,335.7320205159649,0.9363211539691568,10743.424656510875,21,0
36,6,389.6770189733815,0.6751400611496681,2338.062113840289,4,1
37,18,126.7150721782629,0.1160226813481692,2280.871299208732,4,1
38,2,234.26503385234176,0.0422917492226811,468.5300677046835,0,1
